Date,Y1,Y2,Y3,Y5,Y7,Y10,Y20
31/01/2005,4.52,4.43,4.44,4.48,4.51,4.54,4.48
28/02/2005,4.75,4.70,4.69,4.68,4.67,4.65,4.52
31/03/2005,4.68,4.62,4.60,4.61,4.62,4.64,4.57
30/04/2005,4.58,4.48,4.45,4.45,4.46,4.47,4.43
31/05/2005,4.41,4.22,4.19,4.21,4.24,4.28,4.33
30/06/2005,4.20,4.02,4.00,4.04,4.10,4.15,4.21
31/07/2005,4.21,4.15,4.17,4.22,4.26,4.29,4.32
31/08/2005,4.19,4.06,4.05,4.07,4.09,4.12,4.17
30/09/2005,4.23,4.15,4.15,4.19,4.22,4.25,4.23
31/10/2005,4.32,4.27,4.27,4.29,4.29,4.28,4.24
30/11/2005,4.31,4.23,4.22,4.21,4.19,4.17,4.09
31/12/2005,4.20,4.13,4.12,4.11,4.08,4.05,3.96
31/01/2006,4.31,4.25,4.23,4.18,4.13,4.08,3.86
28/02/2006,4.32,4.28,4.27,4.22,4.17,4.12,3.91
31/03/2006,4.42,4.42,4.42,4.40,4.38,4.34,4.14
30/04/2006,4.53,4.58,4.61,4.62,4.62,4.58,4.33
31/05/2006,4.63,4.67,4.67,4.64,4.60,4.54,4.30
30/06/2006,4.68,4.75,4.77,4.74,4.71,4.65,4.41
31/07/2006,4.71,4.71,4.70,4.67,4.62,4.55,4.30
31/08/2006,4.88,4.81,4.74,4.64,4.54,4.44,4.16
30/09/2006,4.93,4.82,4.74,4.64,4.55,4.45,4.16
31/10/2006,5.05,4.92,4.84,4.70,4.57,4.42,4.06
30/11/2006,5.04,4.92,4.83,4.69,4.56,4.41,4.09
31/12/2006,5.18,5.10,5.04,4.91,4.78,4.63,4.26
31/01/2007,5.47,5.37,5.29,5.15,5.02,4.85,4.43
28/02/2007,5.36,5.23,5.13,4.97,4.84,4.68,4.31
31/03/2007,5.46,5.36,5.27,5.14,5.02,4.86,4.47
30/04/2007,5.57,5.44,5.31,5.13,5.03,4.92,4.56
31/05/2007,5.74,5.68,5.57,5.38,5.26,5.13,4.70
30/06/2007,5.83,5.76,5.69,5.56,5.48,5.36,4.90
31/07/2007,5.77,5.55,5.45,5.35,5.26,5.12,4.66
31/08/2007,5.59,5.30,5.19,5.10,5.04,4.94,4.55
30/09/2007,5.28,5.01,4.95,4.96,4.98,4.95,4.65
31/10/2007,5.33,5.06,4.97,4.92,4.90,4.87,4.59
30/11/2007,4.97,4.54,4.48,4.55,4.61,4.64,4.51
31/12/2007,4.76,4.34,4.30,4.39,4.47,4.52,4.38
31/01/2008,4.54,4.24,4.20,4.29,4.39,4.49,4.42
29/02/2008,4.42,4.03,4.02,4.19,4.37,4.53,4.50
31/03/2008,4.31,3.86,3.81,3.95,4.15,4.42,4.60
30/04/2008,4.53,4.35,4.34,4.44,4.56,4.73,4.71
31/05/2008,5.07,5.00,4.96,4.93,4.95,5.00,4.83
30/06/2008,5.22,5.16,5.15,5.16,5.17,5.17,4.90
31/07/2008,4.98,4.80,4.75,4.75,4.78,4.85,4.74
31/08/2008,4.77,4.48,4.39,4.39,4.44,4.53,4.59
30/09/2008,4.06,3.97,4.02,4.18,4.33,4.52,4.68
31/10/2008,2.86,3.06,3.40,3.96,4.34,4.70,4.92
30/11/2008,1.78,2.46,2.89,3.37,3.67,4.01,4.57
31/12/2008,0.91,1.51,2.06,2.70,3.05,3.39,4.06
31/01/2009,0.95,1.43,1.99,2.87,3.50,4.08,4.70
28/02/2009,0.77,1.32,1.83,2.62,3.20,3.82,4.71
31/03/2009,0.69,1.28,1.83,2.47,2.83,3.30,4.26
30/04/2009,0.67,1.30,1.88,2.59,3.06,3.64,4.58
31/05/2009,0.66,1.35,1.98,2.72,3.20,3.81,4.71
30/06/2009,0.83,1.72,2.36,2.97,3.28,3.70,4.57
31/07/2009,0.74,1.70,2.38,3.08,3.47,3.91,4.74
31/08/2009,0.58,1.39,1.99,2.69,3.15,3.63,4.11
30/09/2009,0.66,1.38,1.94,2.68,3.19,3.71,4.15
31/10/2009,0.69,1.43,2.01,2.77,3.26,3.77,4.28
30/11/2009,0.61,1.26,1.84,2.66,3.19,3.70,4.24
31/12/2009,0.71,1.44,2.07,2.98,3.62,4.20,4.59
31/01/2010,0.71,1.43,2.05,2.94,3.55,4.11,4.53
28/02/2010,0.64,1.19,1.78,2.78,3.53,4.24,4.77
31/03/2010,0.68,1.25,1.83,2.79,3.50,4.18,4.66
30/04/2010,0.68,1.26,1.83,2.75,3.44,4.10,4.63
31/05/2010,0.61,1.05,1.54,2.41,3.09,3.79,4.48
30/06/2010,0.60,0.94,1.38,2.21,2.88,3.59,4.38
31/07/2010,0.63,0.99,1.43,2.23,2.87,3.57,4.50
31/08/2010,0.58,0.77,1.08,1.76,2.35,3.02,3.94
30/09/2010,0.59,0.79,1.10,1.81,2.45,3.15,4.01
31/10/2010,0.61,0.82,1.14,1.88,2.55,3.30,4.30
30/11/2010,0.59,0.85,1.23,2.03,2.71,3.46,4.40
31/12/2010,0.65,1.03,1.49,2.31,2.95,3.62,4.33